state_slug,state_name,year,quarter,quarter_start_date,source_category,transaction_count,transaction_value_inr,source_file
andhra-pradesh,Andhra Pradesh,2020,2,2020-04-01,Utility,22577871,13448528903.32977,data/aggregated/transaction/country/india/state/andhra-pradesh/2020/2.json
andhra-pradesh,Andhra Pradesh,2020,3,2020-07-01,P2P,136309737,513947389670.1229,data/aggregated/transaction/country/india/state/andhra-pradesh/2020/3.json
andhra-pradesh,Andhra Pradesh,2020,3,2020-07-01,Retail,90557252,53839104966.40083,data/aggregated/transaction/country/india/state/andhra-pradesh/2020/3.json
andhra-pradesh,Andhra Pradesh,2020,3,2020-07-01,Utility,24510120,17608984015.605423,data/aggregated/transaction/country/india/state/andhra-pradesh/2020/3.json
andhra-pradesh,Andhra Pradesh,2020,4,2020-10-01,P2P,178466683,663199285940.3143,data/aggregated/transaction/country/india/state/andhra-pradesh/2020/4.json
andhra-pradesh,Andhra Pradesh,2020,4,2020-10-01,Utility,29154133,22037928658.47608,data/aggregated/transaction/country/india/state/andhra-pradesh/2020/4.json
andhra-pradesh,Andhra Pradesh,2020,4,2020-10-01,Retail,118472460,75401456430.28206,data/aggregated/transaction/country/india/state/andhra-pradesh/2020/4.json
andhra-pradesh,Andhra Pradesh,2021,1,2021-01-01,P2P,187035752,716653096220.1884,data/aggregated/transaction/country/india/state/andhra-pradesh/2021/1.json
andhra-pradesh,Andhra Pradesh,2021,1,2021-01-01,Retail,122228605,82759457094.47568,data/aggregated/transaction/country/india/state/andhra-pradesh/2021/1.json
andhra-pradesh,Andhra Pradesh,2021,1,2021-01-01,Utility,51307542,27984023265.917984,data/aggregated/transaction/country/india/state/andhra-pradesh/2021/1.json
andhra-pradesh,Andhra Pradesh,2021,2,2021-04-01,Retail,137701586,103373510690.33716,data/aggregated/transaction/country/india/state/andhra-pradesh/2021/2.json
andhra-pradesh,Andhra Pradesh,2021,2,2021-04-01,Utility,69008588,36519467539.585205,data/aggregated/transaction/country/india/state/andhra-pradesh/2021/2.json
andhra-pradesh,Andhra Pradesh,2021,2,2021-04-01,P2P,244005532,927829825258.4785,data/aggregated/transaction/country/india/state/andhra-pradesh/2021/2.json
andhra-pradesh,Andhra Pradesh,2021,3,2021-07-01,P2P,283896229,1049054258625.8699,data/aggregated/transaction/country/india/state/andhra-pradesh/2021/3.json
andhra-pradesh,Andhra Pradesh,2021,3,2021-07-01,Retail,195005296,138303222601.05695,data/aggregated/transaction/country/india/state/andhra-pradesh/2021/3.json
andhra-pradesh,Andhra Pradesh,2021,3,2021-07-01,Utility,73567732,42224303205.05412,data/aggregated/transaction/country/india/state/andhra-pradesh/2021/3.json
andhra-pradesh,Andhra Pradesh,2021,4,2021-10-01,P2P,288996866,1042992560724.562,data/aggregated/transaction/country/india/state/andhra-pradesh/2021/4.json
andhra-pradesh,Andhra Pradesh,2021,4,2021-10-01,Retail,223299270,157162774883.99747,data/aggregated/transaction/country/india/state/andhra-pradesh/2021/4.json
andhra-pradesh,Andhra Pradesh,2021,4,2021-10-01,Utility,64264055,40950541166.518906,data/aggregated/transaction/country/india/state/andhra-pradesh/2021/4.json
andhra-pradesh,Andhra Pradesh,2022,1,2022-01-01,P2P,359825164,1324402943762.77,data/aggregated/transaction/country/india/state/andhra-pradesh/2022/1.json
andhra-pradesh,Andhra Pradesh,2022,1,2022-01-01,Retail,295596425,193230061446.52255,data/aggregated/transaction/country/india/state/andhra-pradesh/2022/1.json
andhra-pradesh,Andhra Pradesh,2022,1,2022-01-01,Utility,70133038,48001862333.111694,data/aggregated/transaction/country/india/state/andhra-pradesh/2022/1.json
andhra-pradesh,Andhra Pradesh,2022,2,2022-04-01,P2P,402016237,1499434873679.222,data/aggregated/transaction/country/india/state/andhra-pradesh/2022/2.json
